Ticker,Cluster_K20,Cluster_K30,Cluster_K40,Cluster_K50
a,4,21,31,17
aa,15,4,21,23
aaba,13,2,22,18
aap,3,27,11,44
aapl,13,29,38,18
abb,15,4,29,14
abc,3,2,0,5
abev,13,2,22,16
abt,3,9,37,46
abx,6,5,10,12
acm,1,19,14,38
acn,13,2,22,1
adbe,10,1,2,18
adi,10,1,2,27
adm,13,2,0,40
adp,3,2,0,5
ads,13,19,22,16
adsk,10,1,23,2
aee,3,9,37,46
aem,6,5,10,12
aeo,0,11,11,21
aep,3,9,37,46
aer,1,19,14,38
aes,1,19,39,16
aet,13,0,28,1
afl,19,17,6,3
agco,4,21,31,17
agn,3,9,37,5
agnc,3,9,37,46
ago,19,7,35,41
agu,13,4,17,0
aig,19,26,6,3
aiz,1,2,39,40
akam,10,1,23,2
aks,18,18,36,15
alb,4,21,31,17
algn,4,0,33,48
alk,1,24,27,22
alks,13,0,33,31
all,1,2,39,40
alv,4,21,31,17
alxn,13,29,28,31
amat,10,1,2,27
amd,14,22,30,20
ame,13,19,14,38
amg,4,17,6,30
amgn,3,9,37,46
amp,19,17,6,3
amt,3,2,0,5
amtd,1,17,39,3
amx,13,19,22,16
amzn,8,29,38,8
an,0,27,11,44
andv,2,23,18,35
anf,0,11,25,21
anss,10,29,2,18
antm,13,0,28,1
aon,13,2,0,40
apa,2,23,5,35
apc,2,3,5,35
apd,13,19,22,16
aph,10,1,2,27
are,17,12,12,34
arrs,10,1,2,18
arw,10,1,23,27
asml,10,1,2,27
atge,13,0,28,40
athn,8,29,38,18
ati,18,18,36,15
atvi,3,2,22,5
au,6,5,10,12
auy,6,5,10,12
avb,17,12,12,34
avgo,10,1,23,27
avp,13,2,22,40
avt,10,1,23,27
awk,3,9,37,46
axp,1,17,39,3
axs,3,2,0,40
ayi,4,21,3,38
azn,3,2,0,5
azo,3,9,37,46
ba,13,19,14,16
bac,19,26,19,24
bam,13,19,39,16
bap,13,2,0,40
bax,3,2,0,1
bb,14,22,30,20
bbby,0,27,11,44
bbd,15,4,26,14
bbl,15,4,21,14
bbt,1,26,6,3
bby,0,27,11,44
bce,3,9,37,46
bcr,3,2,0,1
bcs,19,15,20,47
bdx,3,2,0,5
ben,1,17,6,3
bg,13,19,22,16
bhp,15,4,21,14
bid,4,21,1,29
bidu,16,16,8,19
big,0,27,11,44
biib,13,2,28,1
bk,1,17,6,3
bkd,4,21,3,42
blk,1,17,39,3
bmo,13,2,0,40
bmrn,13,29,28,31
bmy,3,9,37,46
bp,13,23,5,32
brcd,10,1,23,27
brk-a,3,2,0,40
brk-b,13,2,0,40
bsbr,15,4,26,14
bsx,13,0,28,1
bti,3,9,0,5
bud,13,2,22,16
bwa,4,21,31,17
bwld,8,29,38,8
bx,1,17,6,30
bxp,17,12,12,34
c,19,26,19,24
ca,13,19,2,18
caa,12,6,13,9
cag,3,9,37,46
cah,13,2,0,5
cake,0,27,11,8
car,4,21,1,29
cat,4,21,31,17
cavm,14,25,16,37
cb,3,2,0,40
cbg,4,21,31,30
cbi,4,21,31,17
cboe,3,9,37,46
cbs,4,21,3,42
cce,13,2,22,16
cci,13,2,22,5
ccj,15,4,17,14
cck,13,2,22,5
ccl,1,24,3,42
cde,6,5,10,25
cdns,10,29,2,18
ce,4,21,31,17
celg,13,2,28,1
ceo,15,4,26,14
cern,13,29,22,18
cf,2,23,17,0
chd,3,9,37,46
chk,2,3,18,35
chkp,13,29,2,18
chl,3,2,0,5
chrw,13,2,22,16
chs,0,11,25,21
chtr,3,2,0,5
ci,13,0,28,1
cie,2,3,18,6
cien,14,25,16,37
cit,1,19,39,40
cl,3,9,37,46
clb,13,23,17,35
clf,18,18,36,15
clr,2,3,18,6
clx,3,9,37,46
cma,19,26,19,3
cmc,18,18,31,23
cmcsa,13,2,22,16
cme,1,2,39,40
cmg,8,11,38,8
cmi,4,21,31,17
cnc,13,0,33,48
cni,13,19,22,16
cnq,2,23,5,35
cnx,2,3,18,6
cof,1,17,6,3
cog,2,3,18,6
col,13,19,22,16
coo,13,0,28,1
cop,13,23,5,32
cost,3,9,37,46
cp,13,19,14,16
cpa,13,19,22,16
cpb,3,9,37,46
cpn,13,2,0,40
cpt,17,12,12,34
cree,14,22,30,20
cri,0,27,11,8
crl,13,0,28,1
crm,10,1,23,2
crox,8,11,34,36
crus,14,25,16,37
crzo,2,3,18,6
cs,15,15,20,33
csco,10,1,2,27
csiq,11,14,4,11
csx,1,19,14,38
ctas,13,2,22,16
ctl,3,9,37,46
ctrp,16,16,8,19
ctsh,10,1,2,18
ctxs,10,1,23,2
cve,2,23,5,35
cvs,3,2,0,5
cvx,13,2,0,40
cxo,2,3,18,6
cy,14,22,30,20
cyh,4,0,33,48
d,3,9,37,46
dal,1,24,27,22
dan,4,21,1,29
db,15,15,20,47
ddr,17,12,12,13
de,4,19,14,38
deck,8,11,34,36
deo,3,2,0,5
df,3,2,0,40
dfs,1,17,39,3
dg,3,27,37,44
dgx,3,2,0,1
dhi,12,6,13,43
dhr,13,19,14,16
dis,13,19,22,16
disca,13,19,22,16
disck,13,19,22,16
dish,13,19,22,16
dks,0,11,32,8
dlr,17,12,12,34
dltr,3,27,11,44
dnb,13,2,0,5
dnr,2,3,18,6
do,2,23,5,35
dov,4,21,14,38
dox,3,2,0,5
dps,3,9,37,46
dpz,0,29,38,8
dre,17,12,12,13
dri,0,27,11,44
drys,18,18,1,23
duk,3,9,37,46
dva,3,2,0,5
dvn,2,23,5,35
dwdp,4,21,31,17
eat,0,27,11,8
ebay,10,29,2,18
eca,2,23,5,35
ecl,3,2,0,5
ed,3,9,37,46
edu,16,16,8,19
egn,2,23,5,35
ego,6,5,10,12
eix,3,9,37,46
el,13,29,22,18
emn,4,21,31,17
emr,13,19,14,38
enb,3,2,0,5
endp,13,2,28,1
enr,13,2,22,1
eog,2,23,5,35
epc,13,2,22,1
epd,3,9,37,5
eqix,10,29,38,18
eqr,17,12,12,34
eqt,2,23,5,35
eric,15,4,29,32
erj,13,19,14,38
es,3,9,37,46
esrx,13,2,28,1
ess,17,12,12,34
esv,2,23,5,35
ete,3,9,0,5
etfc,19,17,6,30
etn,4,21,31,17
etr,3,9,37,46
ev,1,17,6,3
ew,13,2,28,1
exc,3,9,37,46
exp,4,24,3,42
expd,13,19,14,38
expe,13,29,38,18
exr,17,12,12,34
f,1,24,3,42
fast,13,19,14,16
fcx,18,18,21,23
fds,13,19,22,18
fdx,1,19,14,38
fe,3,9,37,46
ffiv,14,25,16,37
fis,13,2,0,40
fisv,13,2,22,16
fitb,19,26,19,24
fl,0,11,32,21
flex,10,1,23,27
flir,13,19,2,16
flr,4,21,31,17
fls,4,21,31,17
fmc,13,19,14,38
fmx,13,2,22,16
fnf,3,2,0,40
fnsr,14,25,16,37
fosl,8,11,34,36
fox,13,19,14,38
foxa,1,19,14,38
frt,17,12,12,34
fslr,14,28,24,26
fti,2,23,5,35
ftnt,10,1,23,2
ftr,3,2,0,40
fwona,13,19,14,16
gd,13,19,22,16
ge,1,19,39,40
ges,0,11,25,21
gg,6,5,10,12
ggb,15,4,21,23
ggp,17,12,12,34
gild,3,2,28,1
gis,3,9,37,46
glw,10,1,2,27
gme,0,27,11,44
gnw,19,7,19,24
gold,6,5,10,12
googl,13,2,22,18
gpn,13,2,22,1
gpor,2,3,18,6
gps,0,27,11,44
gra,4,21,31,17
grmn,13,27,22,44
gs,19,26,6,3
gsk,3,9,37,5
gt,4,21,1,29
gww,13,19,22,16
gxp,3,9,37,46
hain,13,2,22,16
hal,2,3,18,6
has,13,27,22,44
hban,19,26,19,24
hbi,0,11,32,21
hcn,17,12,12,34
hcp,17,12,12,34
hd,13,27,22,44
hdb,15,4,26,14
hes,2,23,5,35
hig,19,26,19,24
hl,6,5,10,25
hlf,13,29,38,18
hlx,2,3,18,6
hog,4,21,3,42
holx,13,0,28,31
hon,13,19,14,38
hp,2,3,18,6
hpq,10,19,2,27
hrb,13,2,22,40
hrl,3,9,37,46
hrs,13,19,2,18
hsbc,1,19,26,32
hsic,13,2,28,1
hst,17,17,6,13
hsy,3,9,37,46
htz,4,21,1,29
hum,13,2,28,1
hun,4,21,1,29
iac,13,29,22,18
iag,6,5,10,12
ibm,3,2,0,5
ibn,15,4,26,14
ice,13,19,39,40
idti,14,22,23,20
idxx,13,2,28,1
ilmn,13,0,28,31
incy,4,24,3,42
infy,13,19,2,32
ing,15,15,20,47
ingr,13,19,14,16
intc,10,1,2,27
intu,13,2,22,18
ions,13,0,33,31
ip,4,21,31,17
ipg,4,21,31,17
ir,4,21,14,38
irm,13,2,22,5
isrg,13,29,22,1
itt,13,19,14,16
itub,15,4,26,14
itw,13,19,14,38
ivz,19,17,6,30
jaso,11,14,4,11
jazz,8,29,38,39
jbht,13,19,22,16
jbl,14,22,23,20
jblu,1,24,27,22
jci,13,2,22,16
jcp,0,11,25,21
jec,4,21,31,17
jhg,19,17,6,30
jll,4,21,31,30
jnj,3,9,37,46
jnpr,14,22,23,20
jpm,19,26,19,24
jwn,0,11,32,21
k,3,9,37,46
kbh,12,6,13,9
kbr,4,21,31,17
key,19,26,19,24
kgc,6,5,10,12
kim,17,12,12,13
kkr,13,0,39,40
klac,10,1,23,27
kmb,3,9,37,46
kmx,0,11,32,21
ko,3,9,37,46
kr,3,9,37,46
kss,0,27,11,44
ksu,4,21,31,17
l,13,2,39,40
lamr,4,24,3,42
laz,1,17,6,3
lb,0,11,32,21
lbtya,13,19,22,16
lbtyk,13,19,22,16
ldos,13,2,0,40
lea,13,19,14,38
len,12,6,13,43
lfc,15,4,26,14
lh,3,2,0,5
lii,4,24,3,38
lkq,13,19,14,16
ll,0,24,3,42
lll,13,2,0,40
lly,3,9,37,46
lm,19,17,6,30
lmt,3,9,0,5
lnc,19,26,6,30
lng,7,13,9,10
lnt,3,9,37,46
low,0,27,11,44
lpt,17,12,12,34
lrcx,10,22,23,27
luk,19,17,6,30
lulu,8,11,34,36
luv,1,2,27,22
lvlt,1,0,14,45
lvs,16,16,8,39
lyb,4,21,31,17
m,0,11,32,21
ma,13,29,22,18
maa,17,12,12,34
mac,17,12,12,13
man,4,21,31,17
mar,1,24,3,42
mas,12,24,3,43
mat,13,27,22,44
mbi,19,7,35,41
mbt,13,4,26,32
mcd,3,9,37,46
mchp,10,1,2,27
mck,3,2,0,5
mco,1,17,39,38
mdc,12,6,13,43
mdlz,3,9,37,46
mdr,2,21,31,17
mdt,13,2,0,1
meli,16,16,8,2
met,19,26,6,3
mfc,19,17,6,30
mga,4,21,14,38
mgm,4,24,1,39
mhk,4,24,3,42
mkc,3,9,37,46
mlco,16,16,8,19
mlm,13,19,14,38
mmc,13,2,0,40
mmm,13,2,22,16
mo,3,9,37,46
mon,13,19,28,16
mos,2,23,17,0
mrk,3,9,37,46
mro,2,23,5,35
mrvl,10,22,30,27
ms,19,26,19,24
msci,1,19,39,38
msft,13,2,22,5
msi,13,2,2,18
mt,15,15,21,47
mtb,1,17,39,3
mtd,13,0,14,38
mtg,5,10,7,4
mtl,18,18,21,15
mtw,18,20,1,28
mu,14,22,30,20
mur,2,23,5,35
mxim,10,1,2,27
mygn,13,0,28,1
myl,13,2,28,1
nbl,2,23,5,35
nbr,2,3,18,6
ncr,10,1,2,27
ndaq,1,17,39,3
ne,2,23,5,35
nee,3,9,37,46
nem,6,5,10,12
nflx,8,16,34,49
nfx,2,3,18,6
nke,0,27,11,44
nly,3,9,37,46
nnn,17,12,12,34
noc,13,2,0,40
nok,15,15,29,33
nov,2,3,18,35
nrg,13,2,0,40
nsc,13,19,14,16
ntap,10,1,23,27
ntes,16,16,8,19
ntrs,1,17,39,3
nuan,10,1,23,2
nue,1,4,14,23
nus,0,27,11,44
nvda,14,22,30,20
nvo,3,2,0,5
nvr,3,2,22,5
nvs,3,9,0,5
nwl,13,19,14,38
nxpi,14,25,23,37
nycb,1,2,39,40
o,17,12,12,34
oas,2,3,18,6
oc,4,24,3,42
odp,19,24,1,29
ohi,17,12,12,34
oi,4,21,31,17
oii,2,23,5,35
ois,2,3,18,6
oke,13,2,0,16
omc,13,19,22,16
on,14,22,30,20
orcl,13,19,2,18
orly,3,27,11,44
osk,4,21,31,30
oxy,2,23,5,35
paa,3,9,37,46
paas,6,5,10,25
pay,8,29,38,39
payx,13,2,22,5
pbct,3,2,0,40
pbr,15,4,26,14
pcar,4,21,31,17
pcg,3,9,37,46
pcln,8,29,38,2
peg,3,9,37,46
pep,3,9,37,46
pfe,3,9,0,5
pfg,19,17,6,30
pg,3,9,37,46
pgr,13,2,0,40
ph,4,21,31,17
phg,15,15,29,33
phm,12,6,13,9
pii,0,11,32,8
pkg,13,19,14,16
pkx,15,4,26,14
plce,0,11,11,21
pld,17,12,12,13
pm,3,9,37,46
pnc,1,26,6,3
pnr,13,19,14,38
pot,2,23,17,0
ppg,13,19,14,38
ppl,3,9,37,46
prgo,13,2,28,1
pru,19,17,6,3
psa,17,12,12,34
pten,2,3,18,6
ptr,15,4,26,32
pvh,8,11,32,36
pwr,13,19,14,38
px,13,2,22,16
pxd,2,3,18,6
qcom,10,1,2,18
qep,2,23,5,35
qvca,13,29,14,18
rad,1,0,33,48
rcl,4,24,1,29
rdc,2,3,5,35
rdn,5,10,7,4
re,3,2,0,40
reg,17,12,12,34
regn,8,29,33,31
rf,19,26,19,24
rgld,6,5,10,12
rht,10,1,23,2
rig,2,23,5,35
rio,15,4,21,23
rjf,1,17,6,3
rl,0,11,32,21
rmbs,14,22,30,20
rmd,13,2,28,1
rnr,3,9,0,5
rok,4,21,31,17
rop,13,19,14,16
rost,0,27,11,44
rrc,2,3,18,6
rs,4,21,31,23
rsg,3,2,0,5
rtn,3,2,0,5
ry,13,19,39,40
ryn,17,12,12,34
s,1,0,27,38
san,15,15,20,33
sanm,14,25,1,29
sap,13,19,2,32
sbac,3,2,22,5
sbux,0,27,11,8
scco,18,4,21,23
scg,3,9,37,46
schw,1,17,39,3
sdrl,2,23,5,35
shld,1,24,3,42
shpg,3,2,0,5
shw,3,27,22,44
sid,15,4,21,23
sig,0,19,14,38
sina,16,16,8,19
siri,13,29,14,16
sivb,1,17,6,3
six,13,2,28,1
sjm,3,9,37,46
skx,0,11,25,21
slb,2,23,5,35
slg,17,12,12,13
slm,1,17,6,3
sm,2,3,18,6
sne,1,19,39,32
snh,17,12,12,34
sni,13,19,22,16
snps,13,2,22,18
sny,13,19,29,32
so,3,9,37,46
sohu,16,16,8,19
spg,17,12,12,34
spgi,13,2,22,40
spn,2,3,18,6
spr,4,21,14,38
spxc,4,21,31,17
srcl,3,2,0,5
sre,3,9,37,46
srpt,9,8,15,7
ssys,14,25,16,37
st,13,0,28,31
sti,19,26,19,24
stld,18,18,21,23
sto,15,4,29,32
stt,1,17,6,3
stwd,3,2,0,40
stx,10,1,23,27
stz,13,2,22,16
su,2,23,5,35
swk,4,24,3,42
swks,14,25,16,37
swn,2,23,5,35
syk,13,2,28,1
symc,10,1,2,18
syna,10,1,2,27
syy,3,9,37,46
t,3,9,37,46
tap,3,2,0,5
tco,17,12,12,34
td,13,19,39,40
tdc,10,29,2,2
tdg,13,19,22,16
tdw,2,23,5,35
teck,18,18,21,15
tef,15,15,29,33
tel,10,1,2,27
ter,14,22,23,20
teva,3,9,37,5
tex,18,20,1,28
tgna,1,24,3,42
tgt,3,27,11,44
thc,4,0,33,48
tif,0,11,32,21
tjx,0,27,11,44
tkr,4,21,31,17
tm,13,2,0,5
tmo,13,19,28,1
tmus,1,17,14,38
tol,12,6,13,43
tot,15,4,29,32
tpr,0,11,32,21
tpx,8,11,34,36
trmb,10,1,23,2
trn,4,21,1,29
trow,1,17,6,3
trv,3,2,0,40
ts,15,4,29,14
tsco,0,27,11,8
tsla,10,0,33,48
tsm,10,1,2,18
tsn,3,2,0,5
tss,13,2,22,16
ttm,15,4,26,14
ttwo,10,29,38,18
tup,13,19,14,38
tv,1,19,39,16
two,3,9,37,46
twx,13,19,22,16
txn,10,1,2,27
txt,4,21,31,17
uaa,8,11,34,36
ual,1,24,27,22
udr,17,12,12,34
uhs,13,0,28,31
ul,3,2,0,5
ulta,0,11,32,8
un,3,2,0,5
unh,13,2,28,1
unm,1,17,39,3
unp,13,19,14,16
ups,13,2,0,5
urbn,0,11,32,21
uri,4,20,1,29
usb,1,17,39,3
usg,12,6,13,9
uthr,13,0,28,31
utx,13,19,22,16
v,13,2,22,18
vale,15,4,21,23
var,13,2,28,1
vfc,0,27,11,44
viav,14,25,16,37
vlo,2,23,5,35
vmc,1,24,3,38
vmw,10,1,23,2
vno,17,12,12,34
vod,3,2,0,5
vrsk,3,9,37,46
vrsn,13,29,28,18
vrtx,13,0,28,31
vrx,13,0,28,31
vtr,17,12,12,34
vz,3,9,37,46
wab,4,21,14,38
wat,13,19,14,38
wba,3,9,0,5
wbc,4,21,31,17
wcc,4,21,31,17
wcg,4,0,33,48
wdc,10,22,23,27
wdr,19,17,6,30
wec,3,9,37,46
wfc,19,26,6,3
wft,2,3,18,6
whr,4,24,3,42
win,3,9,0,5
wll,2,3,18,6
wltw,3,9,0,5
wm,3,2,0,5
wmb,2,23,5,35
wmt,3,9,37,46
wpm,6,5,10,25
wpz,3,9,37,5
wrb,3,2,0,40
wsm,0,11,32,21
wtw,13,0,28,31
wu,13,2,22,40
wy,1,19,14,38
wyn,4,24,3,42
wynn,8,16,38,39
x,18,18,36,15
xec,2,3,18,35
xel,3,9,37,46
xl,1,17,39,3
xlnx,10,1,2,27
xom,13,2,0,40
xrx,1,17,39,38
yum,13,27,22,44
zbh,13,2,0,1
zion,19,26,19,24
